,Name,Market_cap,price,circulating_supply,symbol,Date
0,Bitcoin,385208305831.57,20127.14,"19,138,750",BTC,01 September 2022
1,Ethereum,193834454491.69,1586.18,"122,202,301",ETH,01 September 2022
2,Tether,67551112128.6,1.0,"67,550,404,113",USDT,01 September 2022
3,USD Coin,52026303625.37,1.0,"52,027,528,034",USDC,01 September 2022
4,BNB,44919072541.51,278.42,"161,337,261",BNB,01 September 2022
5,Binance USD,19427080928.18,1.0,"19,418,545,041",BUSD,01 September 2022
6,XRP,16541923560.0,0.3332,"49,646,492,379",XRP,01 September 2022
7,Cardano,15637621559.45,0.4575,"34,182,049,158",ADA,01 September 2022
8,Solana,11045834220.47,31.59,"349,710,214",SOL,01 September 2022
9,Dogecoin,8274909579.98,0.06237,"132,670,764,300",DOGE,01 September 2022
10,Polkadot,7996006410.07,7.19,"1,112,615,133",DOT,01 September 2022
11,Polygon,7687418965.27,0.8854,"8,682,124,704",MATIC,01 September 2022
12,Dai,6977131560.61,0.9998,"6,978,409,005",DAI,01 September 2022
13,Shiba Inu,6753252613.13,1.23e-05,"549,063,278,876,302",SHIB,01 September 2022
14,TRON,5843181764.28,0.06325,"92,381,881,287",TRX,01 September 2022
15,Avalanche,5685198261.06,19.31,"294,466,850",AVAX,01 September 2022
16,UNUS SED LEO,5296429228.34,5.55,"953,954,130",LEO,01 September 2022
17,Wrapped Bitcoin,4980840777.4,20103.48,"247,760",WBTC,01 September 2022
18,Uniswap,4712600948.37,6.32,"745,647,568",UNI,01 September 2022
19,Ethereum Classic,4497661698.41,32.91,"136,646,418",ETC,01 September 2022
20,Bitcoin,382212933183.84,19969.77,"19,139,575",BTC,02 September 2022
21,Ethereum,192760741605.52,1577.22,"122,215,467",ETH,02 September 2022
22,Tether,67556398533.4,1.0,"67,550,404,113",USDT,02 September 2022
23,USD Coin,51758902179.34,1.0,"51,753,684,615",USDC,02 September 2022
24,BNB,44757554222.55,277.42,"161,337,261",BNB,02 September 2022
25,Binance USD,19560016508.94,1.0,"19,555,493,326",BUSD,02 September 2022
26,XRP,16445851060.42,0.3313,"49,646,492,379",XRP,02 September 2022
27,Cardano,15537756338.82,0.4546,"34,182,044,153",ADA,02 September 2022
28,Solana,10920704686.95,31.23,"349,709,512",SOL,02 September 2022
29,Dogecoin,8177162497.1,0.06164,"132,670,764,300",DOGE,02 September 2022
30,Polkadot,8126875221.64,7.3,"1,112,957,784",DOT,02 September 2022
31,Polygon,7570538165.35,0.872,"8,682,124,704",MATIC,02 September 2022
32,Dai,7005646499.26,1.0,"7,004,309,613",DAI,02 September 2022
33,Shiba Inu,6684012898.39,1.217e-05,"549,063,278,876,302",SHIB,02 September 2022
34,TRON,5782379045.35,0.06259,"92,380,266,123",TRX,02 September 2022
35,Avalanche,5553867196.45,18.86,"294,468,787",AVAX,02 September 2022
36,UNUS SED LEO,5149120144.89,5.4,"953,954,130",LEO,02 September 2022
37,Wrapped Bitcoin,4951629315.7,19961.45,"248,060",WBTC,02 September 2022
38,Uniswap,4772217189.41,6.4,"745,490,313",UNI,02 September 2022
39,Ethereum Classic,4437224922.77,32.47,"136,663,869",ETC,02 September 2022
40,Bitcoin,379595440556.6,19832.09,"19,140,468",BTC,03 September 2022
41,Ethereum,190294120192.45,1556.87,"122,228,445",ETH,03 September 2022
42,Tether,67555369461.95,1.0,"67,550,404,113",USDT,03 September 2022
43,USD Coin,51862761777.23,1.0,"51,856,213,560",USDC,03 September 2022
44,BNB,44815551874.48,277.78,"161,337,261",BNB,03 September 2022
45,Binance USD,19556247185.4,1.0,"19,555,493,326",BUSD,03 September 2022
46,Cardano,16420612567.82,0.4804,"34,182,044,153",ADA,03 September 2022
47,XRP,16381795218.55,0.33,"49,646,492,379",XRP,03 September 2022
48,Solana,10879255849.52,31.11,"349,708,669",SOL,03 September 2022
49,Dogecoin,8317606742.02,0.06269,"132,670,764,300",DOGE,03 September 2022
50,Polkadot,8110459660.98,7.29,"1,113,283,427",DOT,03 September 2022
51,Polygon,7720796320.95,0.8893,"8,682,124,704",MATIC,03 September 2022
52,Dai,7005005693.28,1.0,"7,003,405,093",DAI,03 September 2022
53,Shiba Inu,6757780215.98,1.231e-05,"549,063,278,876,302",SHIB,03 September 2022
54,TRON,5830217140.93,0.06311,"92,379,357,383",TRX,03 September 2022
55,Avalanche,5558436753.5,18.88,"294,485,404",AVAX,03 September 2022
56,UNUS SED LEO,4940728187.91,5.18,"953,954,130",LEO,03 September 2022
57,Wrapped Bitcoin,4915214465.61,19814.65,"248,060",WBTC,03 September 2022
58,Uniswap,4701499427.0,6.3,"745,861,024",UNI,03 September 2022
59,Ethereum Classic,4408257266.51,32.25,"136,680,972",ETC,03 September 2022
60,Bitcoin,382576542382.12,19986.71,"19,141,543",BTC,04 September 2022
61,Ethereum,192853381586.06,1577.64,"122,241,565",ETH,04 September 2022
62,Tether,67554552922.52,1.0,"67,550,404,104",USDT,04 September 2022
63,USD Coin,51881772221.08,1.0,"51,876,228,265",USDC,04 September 2022
64,BNB,44987580579.29,278.84,"161,337,261",BNB,04 September 2022
65,Binance USD,19438038369.83,1.0,"19,433,224,173",BUSD,04 September 2022
